Date,Express,Guardian,Independent,Mail,Telegraph,Times
20:00:06-10/10/2015,-3.7,-5.65,-2.9,-4.5,1.35,-5.0
21:00:06-10/10/2015,-2.8,-5.15,-2.9,-4.5,2.2,-5.0
08:00:14-11/10/2015,-0.15,-5.2,-2.9,-2.8,-2.0,0.1
09:00:06-11/10/2015,-0.15,-5.0,-2.9,-2.05,-3.4,0.1
10:00:06-11/10/2015,-0.95,-5.0,-2.9,-2.9,-4.35,0.1
11:00:06-11/10/2015,-0.25,-4.95,-2.9,-2.9,-4.35,0.1
12:00:10-11/10/2015,-0.25,-3.9,-2.9,0.15,-4.35,-0.75
13:00:06-11/10/2015,-0.05,-0.7,-2.9,0.1,-4.35,0.45
14:00:07-11/10/2015,-0.95,-4.2,-2.9,1.05,-4.35,0.75
15:00:07-11/10/2015,-1.4,-4.2,-2.9,1.15,-4.35,0.75
16:00:13-11/10/2015,-0.1,-4.2,-2.9,-1.5,-4.35,0.75
00:00:33-12/10/2015,-4.15,-2.2,-2.9,-2.0,-2.9,-2.5
10:00:27-12/10/2015,1.0,-3.15,-2.9,-5.7,-4.0,-4.8
11:00:37-12/10/2015,-3.35,-2.55,-2.9,-2.35,-4.0,-4.8
12:00:33-12/10/2015,-3.35,-3.5,-2.9,-4.3,-4.0,-5.5
13:00:29-12/10/2015,-4.0,-3.5,-2.9,-3.35,-5.55,-5.5
14:01:01-12/10/2015,-3.55,-2.55,-2.9,-1.25,-5.3,-5.5
15:00:31-12/10/2015,-5.15,-2.75,-2.9,-2.55,-2.6,-5.9
16:00:36-12/10/2015,-5.6,-2.65,-2.9,-2.9,-2.45,-7.65
17:00:28-12/10/2015,-5.15,-1.55,-2.9,0.0,-2.35,-8.35
18:00:21-12/10/2015,-4.85,-1.5,-2.9,-0.65,-0.3,-7.05
19:00:29-12/10/2015,-2.45,0.45,-2.9,-1.7,1.05,-4.4
20:00:13-12/10/2015,-0.85,0.0,-2.9,-1.35,0.4,-1.35
21:00:33-12/10/2015,-2.8,-0.75,-2.9,-2.7,-0.55,1.35
07:00:30-13/10/2015,-2.4,-3.4,-2.9,-2.35,-0.65,0.1
08:00:27-13/10/2015,-4.7,-3.4,-2.9,-1.75,-0.65,0.1
10:01:06-13/10/2015,-4.3,-2.0,-2.9,-1.75,-0.65,-0.1
12:02:06-13/10/2015,-4.6,-2.3,-2.9,-3.7,-3.7,-1.75
14:00:51-13/10/2015,-0.55,-2.65,-2.9,-0.9,-2.7,-1.7
15:00:11-13/10/2015,-1.85,-2.6,-2.9,-0.4,-2.2,-3.25
16:00:08-13/10/2015,0.2,-2.85,-2.9,-2.9,-2.7,-3.6
17:00:08-13/10/2015,-0.8,-2.9,-2.9,-0.95,-2.9,-2.35
18:00:09-13/10/2015,-2.9,-1.9,-2.9,-0.65,-1.8,-4.9
19:00:13-13/10/2015,-4.7,-3.45,-2.9,-1.8,-1.9,-4.9
20:00:08-13/10/2015,-4.15,-2.35,-2.9,-2.65,0.25,-4.25
21:00:09-13/10/2015,-0.85,-0.4,-2.9,-2.95,-0.05,-4.9
22:00:12-13/10/2015,-1.25,-1.35,-2.9,-2.85,-3.2,-5.8
23:00:05-13/10/2015,-5.5,-1.4,-2.9,-2.85,-1.55,-6.45
00:00:06-14/10/2015,-4.9,-2.1,-2.9,-2.6,-1.25,-7.1
01:00:37-14/10/2015,-5.6,-0.6,-2.9,-1.8,-0.75,-7.1
08:00:09-14/10/2015,-1.7,-5.7,-2.9,-4.2,0.8,-8.45
15:00:35-14/10/2015,-0.55,-3.3,-2.9,0.85,1.05,-7.25
16:00:17-14/10/2015,-1.35,-4.2,-2.9,-1.6,0.3,-6.55
17:00:16-14/10/2015,-1.45,0.25,-2.9,-3.65,-2.95,-6.55
18:00:10-14/10/2015,-2.05,-3.85,-2.9,-1.05,-4.4,-1.3
19:00:09-14/10/2015,-3.75,-4.25,-2.9,-2.65,-2.35,-1.4
23:00:11-14/10/2015,0.1,-4.2,-2.9,-1.75,-1.85,-1.9
07:00:09-15/10/2015,-2.2,-4.05,-2.9,-0.25,-2.6,-1.75
08:00:11-15/10/2015,-1.25,-4.05,-2.9,-0.45,-3.2,-1.75
22:00:42-15/10/2015,-1.15,-5.05,-2.9,-0.85,-0.95,-4.2
08:14:15-16/10/2015,-1.25,-6.3,-2.9,-2.5,-3.3,0.75
17:02:07-16/10/2015,-1.05,-3.0,-2.9,-4.3,3.5,-3.4
18:00:34-16/10/2015,-0.95,-3.75,-2.9,-3.1,3.9,-4.25
19:00:14-16/10/2015,-2.85,-3.2,-2.9,-3.1,3.15,-4.05
20:00:12-16/10/2015,-2.85,-1.25,-2.9,-3.05,-0.6,-5.6
17:00:52-17/10/2015,-3.25,-6.3,-2.9,-3.25,-3.6,-1.3
19:00:21-17/10/2015,-4.75,-1.7,-2.9,-0.6,-4.1,-1.0
20:00:14-17/10/2015,-4.65,-0.45,-2.9,1.3,-1.95,-1.5
21:00:11-17/10/2015,-4.85,1.25,-2.9,-1.85,-1.55,-1.4
09:00:33-18/10/2015,0.05,-2.1,-2.9,-1.7,-1.8,-1.1
10:00:07-18/10/2015,0.05,-2.1,-2.9,-1.7,-1.8,-1.1
14:00:08-18/10/2015,-1.05,-2.3,-2.9,-1.8,-1.3,-2.8
15:00:07-18/10/2015,-1.15,-2.3,-2.9,-1.8,-1.3,-3.5
22:00:42-18/10/2015,-2.45,-3.5,-2.9,-4.55,-0.65,-2.3
23:00:14-18/10/2015,-2.85,-3.6,-2.9,-0.85,3.85,-1.95
07:00:14-21/10/2015,-4.5,-0.65,-2.9,-1.8,-1.85,-1.55
08:00:30-21/10/2015,-4.5,-0.65,-2.9,-1.8,-3.15,-1.55
09:00:10-21/10/2015,-4.95,-1.95,-2.9,-1.8,-3.15,-1.55
18:00:27-21/10/2015,-1.45,-1.15,-2.9,-3.1,-4.8,-4.85
21:00:12-21/10/2015,-4.55,-2.7,-2.9,-2.95,-3.3,-5.05
23:00:17-21/10/2015,-1.5,-5.2,-2.9,-6.5,-3.4,-3.55
00:00:09-22/10/2015,-2.2,-5.7,-2.9,-4.85,-2.25,-3.55
01:00:10-22/10/2015,-1.35,-4.7,-2.9,-5.35,-2.9,-3.55
11:01:03-22/10/2015,-2.2,-5.7,-2.9,-1.15,-0.7,-0.65
12:00:09-22/10/2015,-2.2,-3.4,-2.9,-1.55,-1.3,0.35
13:00:08-22/10/2015,-6.75,-3.45,-2.9,-1.1,-1.65,0.35
23:00:13-22/10/2015,-2.25,-3.05,-2.9,-3.75,-1.1,-0.2
19:00:07-23/10/2015,-2.15,-8.1,-2.9,-3.7,-2.45,-10.95
21:00:17-23/10/2015,-3.5,-7.55,-2.9,-2.6,0.45,-6.8
22:00:06-23/10/2015,-1.4,-6.6,-2.9,-0.7,0.45,-6.8
08:00:38-24/10/2015,-8.15,-3.95,-2.9,0.35,-1.55,-2.55
10:00:28-24/10/2015,-4.35,-5.25,-2.9,-2.85,-1.55,-2.55
11:00:11-24/10/2015,-5.45,-5.6,-2.9,-2.85,-1.55,-2.55
12:00:07-24/10/2015,-4.75,-7.2,-2.9,-2.85,-1.55,-2.55
13:00:13-24/10/2015,-5.15,-6.6,-2.9,-0.8,-1.55,-2.55
14:01:08-24/10/2015,-5.15,-6.55,-2.9,-0.8,-0.35,-2.55
15:00:17-24/10/2015,-5.15,-6.45,-2.9,-1.45,-0.3,-2.1
16:00:13-24/10/2015,-5.35,-6.35,-2.9,1.5,-0.3,-0.95
